Circuit breaker Open/Close Status,Source,Length,goID,heartbeat,I-high VT,I-high VT- Tran,I-low VT- Tran,I-amongst-feeders,sqNum,stNum,dif_stNum,dif_sqNum,Label
1,00:30:a7:26:e8:39,133,Txfmr1,1.0009420000000002,-2030967,-2030967,-12955106,14986073,48,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0010019999999995,4379213,4379213,-15750850,11371636,49,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000896000000001,9071558,9071558,-16221613,7150054,50,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0011069999999975,13591021,13591021,-14525994,934972,51,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0007180000000029,-171483,-171483,-13994870,14166354,52,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0009319999999988,4942689,4942689,-15886022,10943333,53,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0010970000000017,10549442,10549442,-15990142,5440699,54,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000799999999998,13906391,13906391,-14250030,343638,55,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0008690000000016,15846938,15846938,-11074302,-4772635,56,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0009610000000002,4968940,4968940,-15892465,10923524,57,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0008959999999971,9575308,9575308,-16168112,6592803,58,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000935000000002,13920780,13920780,-14237724,316943,59,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.001155000000001,16089404,16089404,-10086172,-6003231,60,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0006799999999991,16185539,16185539,-6751599,-9433940,61,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0012340000000002,11708221,11708221,-15620217,3911996,62,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000626999999998,14061903,14061903,-14100662,38759,63,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0009230000000002,16127338,16127338,-9862451,-6264887,64,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0010340000000006,15673424,15673424,-4084005,-11589418,65,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000911000000002,13519782,13519782,1064763,-14584545,66,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000906999999998,14075109,14075109,-14088602,13492,67,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000906999999998,16131797,16131797,-9839797,-6291999,68,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0010410000000007,15661168,15661168,-4057051,-11604117,69,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000793999999999,14172701,14172701,-183459,-13989241,70,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0012590000000046,8939392,8939392,7288836,-16228229,71,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000586999999996,15790994,15790994,-11255544,-4535450,72,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0009900000000016,16062285,16062285,-5834000,-10228285,73,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0008570000000034,14451224,14451224,-768987,-13682236,74,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0009239999999977,11383917,11383917,4363180,-15747098,75,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0009220000000028,5992724,5992724,10095260,-16087984,76,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000941999999995,16109618,16109618,-6138809,-9970808,77,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000985,13990239,13990239,173893,-14164133,78,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0009140000000016,10687859,10687859,5269611,-15957471,79,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0011149999999986,3877230,3877230,11733751,-15610982,80,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0006920000000008,2395,2395,14076744,-14079140,81,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000914999999999,14309327,14309327,-465341,-13843985,82,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.000930000000004,10194870,10194870,5867972,-16062843,83,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0009209999999982,5716182,5716182,10325695,-16041877,84,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0009329999999963,638372,638372,13752315,-14390688,85,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0009310000000011,-5704144,-5704144,16034922,-10330777,86,5,0.0,1.0,0
1,00:30:a7:26:e8:39,133,Txfmr1,1.0011070000000046,10411047,10411047,5606808,-16017856,87,5,0.0,1.0,0
